Order;obname;agent;Oid;type;dir;price;quty;validity
Tick;numtick;obname;bestask;bestbid;lastFixedPrice
Price;obname;price;quty;dirTrigger;AgTrigger;Oid;ag2;Oid2;bestask;bestbid
Agent;name;cash;obName;invests;LastFixedPrice
Exec;agent;Oid
Day;numday;obName;firstPrice;lastPrice;lowestPrice;highestPrice;nbPricesFixed
!F
Order;lvmh;ZIT0;1;L;A;14666;31;-1
Order;lvmh;ZIT9;1;L;A;14060;28;-1
Info;Sending a BID order [tick=1]
Order;lvmh;Noise3;Noise3;M;B;903;-1
Order;lvmh;ZIT5;1;L;A;14999;31;-1
Info;Sending a BID order [tick=1]
Order;lvmh;Noise0;Noise0;M;B;916;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise2;Noise2;M;B;360;-1
Info;Sending a BID order [tick=1]
Order;lvmh;Noise6;Noise6;M;B;434;-1
Order;lvmh;ZIT6;1;L;B;14252;58;-1
Order;lvmh;ZIT1;1;L;B;14414;38;-1
Order;lvmh;ZIT3;1;L;A;14888;23;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise5;Noise5;M;B;859;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise4;Noise4;M;B;177;-1
Order;lvmh;ZIT4;1;L;A;14856;97;-1
Info;Sending a BID order [tick=1]
Order;lvmh;Noise1;Noise1;M;B;409;-1
Order;lvmh;ZIT7;1;L;A;14099;53;-1
Order;lvmh;ZIT2;1;L;A;14846;48;-1
Order;lvmh;ZIT8;1;L;B;14975;67;-1
Tick;1;lvmh;14060;9223372036854775807;0;
Price;lvmh;14414;81;p;noname;noname;14666;9223372036854775807
!C
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise2;Noise2;M;B;698;-1
Price;lvmh;14666;31;B;ZIT0;1;Noise3;Noise3;14666;9223372036854775807
Agent;Noise3;-1622180;lvmh;112;14666
Agent;ZIT0;454646;lvmh;-31;14666
Exec;ZIT0;1
Price;lvmh;14846;48;A;ZIT2;1;Noise3;Noise3;14846;9223372036854775807
Agent;Noise3;-2334788;lvmh;160;14846
Agent;ZIT2;712608;lvmh;-48;14846
Exec;ZIT2;1
Price;lvmh;14856;97;A;ZIT4;1;Noise3;Noise3;14856;9223372036854775807
Agent;Noise3;-3775820;lvmh;257;14856
Agent;ZIT4;1441032;lvmh;-97;14856
Exec;ZIT4;1
Price;lvmh;14888;23;A;ZIT3;1;Noise3;Noise3;14888;9223372036854775807
Agent;Noise3;-4118244;lvmh;280;14888
Agent;ZIT3;342424;lvmh;-23;14888
Exec;ZIT3;1
Price;lvmh;14999;31;A;ZIT5;1;Noise3;Noise3;14999;9223372036854775807
Agent;Noise3;-4583213;lvmh;311;14999
Agent;ZIT5;464969;lvmh;-31;14999
Exec;ZIT5;1
Order;lvmh;ZIT4;2;L;B;14549;55;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise4;Noise4;M;B;245;-1
Order;lvmh;ZIT6;2;L;A;14253;23;-1
Price;lvmh;14253;23;A;ZIT6;2;Noise3;Noise3;14253;9223372036854775807
Agent;Noise3;-4911032;lvmh;334;14253
Agent;ZIT6;327819;lvmh;-23;14253
Exec;ZIT6;2
Order;lvmh;ZIT0;2;L;A;14825;49;-1
Price;lvmh;14825;49;A;ZIT0;2;Noise3;Noise3;14825;9223372036854775807
Agent;Noise3;-5637457;lvmh;383;14825
Agent;ZIT0;1181071;lvmh;-80;14825
Exec;ZIT0;2
Order;lvmh;ZIT5;2;L;A;14706;27;-1
Price;lvmh;14706;27;A;ZIT5;2;Noise3;Noise3;14706;9223372036854775807
Agent;Noise3;-6034519;lvmh;410;14706
Agent;ZIT5;862031;lvmh;-58;14706
Exec;ZIT5;2
Order;lvmh;ZIT9;2;L;B;14196;69;-1
Info;Sending a BID order [tick=1]
Order;lvmh;Noise1;Noise1;M;B;571;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise3;Noise3;M;B;953;-1
Order;lvmh;ZIT3;2;L;B;14947;36;-1
Order;lvmh;ZIT8;2;L;B;14214;72;-1
Order;lvmh;ZIT2;2;L;A;14811;84;-1
Price;lvmh;14811;84;A;ZIT2;2;Noise3;Noise3;14811;9223372036854775807
Agent;Noise3;-7278643;lvmh;494;14811
Agent;ZIT2;1956732;lvmh;-132;14811
Exec;ZIT2;2
Info;Sending a BID order [tick=1]
Order;lvmh;Noise6;Noise6;M;B;444;-1
Info;Sending a BID order [tick=1]
Order;lvmh;Noise5;Noise5;M;B;554;-1
Info;Sending a BID order [tick=1]
Order;lvmh;Noise0;Noise0;M;B;63;-1
Order;lvmh;ZIT1;2;L;B;14172;17;-1
Order;lvmh;ZIT7;2;L;B;14002;32;-1
Tick;1;lvmh;0;9223372036854775807;14811;
!F
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise3;Noise3;M;B;74;-1
Order;lvmh;ZIT9;3;L;A;14398;26;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise1;Noise1;M;B;854;-1
Order;lvmh;ZIT5;3;L;B;14720;28;-1
Order;lvmh;ZIT1;3;L;A;14227;48;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise6;Noise6;M;B;544;-1
Order;lvmh;ZIT6;3;L;A;14454;52;-1
Order;lvmh;ZIT2;3;L;A;14474;39;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise4;Noise4;M;B;267;-1
Order;lvmh;ZIT4;3;L;B;14925;16;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise2;Noise2;M;B;911;-1
Order;lvmh;ZIT0;3;L;B;14376;81;-1
Info;Sending a BID order [tick=1]
Order;lvmh;Noise5;Noise5;M;B;292;-1
Order;lvmh;ZIT7;3;L;A;14362;67;-1
Order;lvmh;ZIT8;3;L;B;14165;56;-1
Order;lvmh;ZIT3;3;L;A;14422;38;-1
Info;Sending a BID order [tick=1]
Order;lvmh;Noise0;Noise0;M;B;791;-1
Tick;1;lvmh;14227;9223372036854775807;14811;
Price;lvmh;14454;202;p;noname;noname;14454;9223372036854775807
!K
Day;1;lvmh;14414;14253;14999;14454;11;
Info;Sending an ASK order [tick=1]
Order;lvmh;Overvalued_10_8;Overvalued_10_8;L;A;13500;523;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Overvalued_10_3;Overvalued_10_3;L;A;13500;827;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Overvalued_10_2;Overvalued_10_2;L;A;13500;481;-1
Info;Sending a BID order [tick=1]
Order;lvmh;Noise1;Noise1;M;B;428;-1
Order;lvmh;ZIT4;4;L;B;14159;94;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Overvalued_10_7;Overvalued_10_7;L;A;13500;368;-1
Info;Sending a BID order [tick=1]
Order;lvmh;Noise5;Noise5;M;B;714;-1
Info;Sending a BID order [tick=1]
Order;lvmh;Noise6;Noise6;M;B;584;-1
Order;lvmh;ZIT0;4;L;B;14270;30;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Overvalued_10_6;Overvalued_10_6;L;A;13500;771;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Overvalued_10_0;Overvalued_10_0;L;A;13500;543;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Overvalued_10_9;Overvalued_10_9;L;A;13500;323;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Overvalued_10_5;Overvalued_10_5;L;A;13500;206;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise2;Noise2;M;B;765;-1
Order;lvmh;ZIT1;4;L;B;14335;57;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Overvalued_10_1;Overvalued_10_1;L;A;13500;180;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise3;Noise3;M;B;681;-1
Order;lvmh;ZIT3;4;L;B;14623;97;-1
Order;lvmh;ZIT8;4;L;B;14300;24;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise4;Noise4;M;B;807;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Noise0;Noise0;M;B;547;-1
Order;lvmh;ZIT6;4;L;B;14397;21;-1
Order;lvmh;ZIT2;4;L;B;14340;97;-1
Order;lvmh;ZIT7;4;L;A;14373;43;-1
Info;Sending an ASK order [tick=1]
Order;lvmh;Overvalued_10_4;Overvalued_10_4;L;A;13500;474;-1
Order;lvmh;ZIT5;4;L;A;14391;50;-1
Order;lvmh;ZIT9;4;L;A;14661;31;-1
Tick;1;lvmh;13500;9223372036854775807;14454;
Price;lvmh;14002;1045;p;noname;noname;13500;9223372036854775807
!C
Info;Sending a BID order [tick=1]
Order;lvmh;Noise6;Noise6;M;B;402;-1
Price;lvmh;13500;78;A;Overvalued_10_3;Overvalued_10_3;Noise0;Noise0;13500;9223372036854775807
Agent;Noise0;-12786676;lvmh;916;13500
Exec;Noise0;Noise0
Agent;Overvalued_10_3;8362044;lvmh;-600;13500
Price;lvmh;13500;227;A;Overvalued_10_3;Overvalued_10_3;Noise2;Noise2;13500;9223372036854775807
Agent;Noise2;-3064500;lvmh;227;13500
Agent;Overvalued_10_3;11426544;lvmh;-827;13500
Exec;Overvalued_10_3;Overvalued_10_3
Price;lvmh;13500;133;A;Overvalued_10_2;Overvalued_10_2;Noise2;Noise2;13500;9223372036854775807
Agent;Noise2;-4860000;lvmh;360;13500
Exec;Noise2;Noise2
Agent;Overvalued_10_2;1795500;lvmh;-133;13500
Price;lvmh;13500;348;A;Overvalued_10_2;Overvalued_10_2;Noise6;Noise6;13500;9223372036854775807
Agent;Noise6;-4698000;lvmh;348;13500
Agent;Overvalued_10_2;6493500;lvmh;-481;13500
Exec;Overvalued_10_2;Overvalued_10_2
Price;lvmh;13500;86;A;Overvalued_10_7;Overvalued_10_7;Noise6;Noise6;13500;9223372036854775807
Agent;Noise6;-5859000;lvmh;434;13500
Exec;Noise6;Noise6
Agent;Overvalued_10_7;1161000;lvmh;-86;13500
Price;lvmh;13500;282;A;Overvalued_10_7;Overvalued_10_7;Noise5;Noise5;13500;9223372036854775807
Agent;Noise5;-3807000;lvmh;282;13500
Agent;Overvalued_10_7;4968000;lvmh;-368;13500
Exec;Overvalued_10_7;Overvalued_10_7
Price;lvmh;13500;577;A;Overvalued_10_6;Overvalued_10_6;Noise5;Noise5;13500;9223372036854775807
Agent;Noise5;-11596500;lvmh;859;13500
Exec;Noise5;Noise5
Agent;Overvalued_10_6;7789500;lvmh;-577;13500
