Price;obname;price;quty;dirTrigger;AgTrigger;Oid;ag2;Oid2;bestask;bestbid
Price;lvmh;14360;28;A;paul;614;paul;544;14024;14360
Price;lvmh;14358;28;A;paul;614;paul;567;14024;14358
Price;lvmh;14551;61;B;paul;615;paul;617;14551;14577
Price;lvmh;14408;83;B;paul;618;paul;619;14408;14681
Price;lvmh;14358;12;A;paul;620;paul;567;14105;14358
Price;lvmh;14408;16;B;paul;618;paul;621;14408;14957
Price;lvmh;14551;21;B;paul;615;paul;621;14551;14957
Price;lvmh;14358;23;A;paul;623;paul;567;14342;14358
Price;lvmh;14494;70;B;paul;622;paul;625;14494;14813
Price;lvmh;14551;9;B;paul;615;paul;625;14551;14813
Price;lvmh;14556;9;B;paul;578;paul;625;14556;14813
Price;lvmh;14559;1;B;paul;600;paul;625;14559;14813
Price;lvmh;14559;24;B;paul;600;paul;627;14559;14668
Price;lvmh;14559;27;B;paul;600;paul;628;14559;14855
Price;lvmh;14479;16;A;paul;635;paul;629;14231;14479
Price;lvmh;14372;15;A;paul;635;paul;634;14231;14372
Price;lvmh;14358;10;A;paul;635;paul;567;14231;14358
Price;lvmh;14352;57;A;paul;635;paul;562;14231;14352
Price;lvmh;14578;33;B;paul;592;paul;638;14578;14850
Price;lvmh;14584;13;B;paul;611;paul;638;14584;14850
Price;lvmh;14686;50;B;paul;586;paul;638;14686;14850
Price;lvmh;14612;57;A;paul;641;paul;640;14479;14612
Price;lvmh;14612;33;A;paul;642;paul;640;14056;14612
Price;lvmh;14424;32;A;paul;642;paul;636;14056;14424
Price;lvmh;14686;21;B;paul;586;paul;643;14686;14687
Price;lvmh;14724;18;B;paul;610;paul;646;14724;14750
Price;lvmh;14687;21;A;paul;647;paul;643;14282;14687
Price;lvmh;14424;14;A;paul;647;paul;636;14282;14424
Price;lvmh;14424;2;A;paul;648;paul;636;14118;14424
Price;lvmh;14390;21;A;paul;648;paul;644;14118;14390
Price;lvmh;14390;36;A;paul;652;paul;644;14140;14390
Price;lvmh;14390;31;A;paul;653;paul;644;14330;14390
Price;lvmh;14352;33;A;paul;653;paul;562;14330;14352
Price;lvmh;14352;18;A;paul;653;paul;601;14330;14352
Price;lvmh;14330;12;B;paul;653;paul;654;14330;14595
Price;lvmh;14543;25;B;paul;651;paul;654;14543;14595
Price;lvmh;14595;53;A;paul;656;paul;654;14118;14595
Price;lvmh;14328;2;A;paul;656;paul;542;14118;14328
Price;lvmh;14348;20;B;paul;659;paul;665;14348;14734
Price;lvmh;14724;25;B;paul;610;paul;665;14724;14734
Price;lvmh;14339;12;A;paul;666;paul;661;14183;14339
Price;lvmh;14555;19;B;paul;669;paul;674;14555;14826
Price;lvmh;14618;18;B;paul;673;paul;674;14618;14826
Price;lvmh;14724;6;B;paul;610;paul;674;14724;14826
Price;lvmh;14469;69;B;paul;677;paul;678;14469;14880
Price;lvmh;14469;16;B;paul;677;paul;680;14469;14553
Price;lvmh;14574;39;B;paul;682;paul;685;14574;14818
Price;lvmh;14724;12;B;paul;610;paul;685;14724;14818
Price;lvmh;14726;18;B;paul;675;paul;685;14726;14818
Price;lvmh;14553;31;A;paul;686;paul;680;14295;14553
Price;lvmh;14457;16;A;paul;686;paul;676;14295;14457
Price;lvmh;14372;44;A;paul;686;paul;683;14295;14372
Price;lvmh;14726;71;B;paul;675;paul;695;14726;14757
Price;lvmh;14740;1;B;paul;551;paul;695;14740;14757
Price;lvmh;14554;77;A;paul;696;paul;691;14290;14554
Price;lvmh;14607;63;A;paul;698;paul;697;14415;14607
Price;lvmh;14554;8;A;paul;698;paul;691;14415;14554
Price;lvmh;14554;8;A;paul;699;paul;691;14395;14554
Price;lvmh;14448;44;A;paul;699;paul;687;14395;14448
Price;lvmh;14452;13;A;paul;706;paul;705;14205;14452
Price;lvmh;14452;22;A;paul;709;paul;705;14233;14452
Price;lvmh;14480;31;B;paul;707;paul;710;14480;14617
Price;lvmh;14544;27;B;paul;701;paul;710;14544;14617
Price;lvmh;14617;14;A;paul;714;paul;710;14452;14617
Price;lvmh;14617;8;A;paul;717;paul;710;14338;14617
Price;lvmh;14572;24;A;paul;717;paul;716;14338;14572
Price;lvmh;14452;13;A;paul;717;paul;705;14338;14452
Price;lvmh;14706;57;B;paul;700;paul;720;14706;14733
Price;lvmh;14604;37;A;paul;724;paul;719;14216;14604
Price;lvmh;14604;33;A;paul;726;paul;719;14090;14604
Price;lvmh;14515;15;A;paul;726;paul;722;14090;14515
Price;lvmh;14706;18;B;paul;700;paul;727;14706;14857
Price;lvmh;14740;53;B;paul;551;paul;727;14740;14857
Price;lvmh;14742;12;B;paul;396;paul;727;14742;14857
Price;lvmh;14747;10;B;paul;262;paul;727;14747;14857
Price;lvmh;14515;9;A;paul;729;paul;722;14162;14515
Price;lvmh;14452;37;A;paul;729;paul;705;14162;14452
Price;lvmh;14448;45;A;paul;729;paul;687;14162;14448
Price;lvmh;14747;26;B;paul;262;paul;731;14747;14766
Price;lvmh;14448;8;A;paul;732;paul;687;14145;14448
Price;lvmh;14417;25;A;paul;732;paul;703;14145;14417
Price;lvmh;14747;59;B;paul;262;paul;734;14747;14836
Price;lvmh;14748;25;B;paul;379;paul;734;14748;14836
Price;lvmh;14417;18;A;paul;735;paul;703;14319;14417
Price;lvmh;14402;57;A;paul;735;paul;688;14319;14402
Price;lvmh;14398;12;A;paul;735;paul;728;14319;14398
Price;lvmh;14398;2;A;paul;736;paul;728;14357;14398
Price;lvmh;14393;22;A;paul;736;paul;725;14357;14393
Price;lvmh;14748;40;B;paul;379;paul;738;14748;14869
Price;lvmh;14749;11;B;paul;568;paul;738;14749;14869
Price;lvmh;14751;38;B;paul;410;paul;738;14751;14869
Price;lvmh;14754;10;B;paul;295;paul;738;14754;14869
Price;lvmh;14754;22;B;paul;295;paul;742;14754;14957
Price;lvmh;14759;64;B;paul;145;paul;742;14759;14957
Price;lvmh;14745;48;A;paul;743;paul;741;14624;14745
Price;lvmh;14745;12;A;paul;744;paul;741;14307;14745
Price;lvmh;14393;33;A;paul;744;paul;725;14307;14393
Price;lvmh;14372;12;A;paul;744;paul;683;14307;14372
Price;lvmh;14372;40;A;paul;745;paul;683;14137;14372
Price;lvmh;14339;28;A;paul;745;paul;661;14137;14339
Price;lvmh;14617;27;A;paul;747;paul;746;14423;14617
Price;lvmh;14759;29;B;paul;145;paul;749;14759;14970
Price;lvmh;14760;7;B;paul;320;paul;749;14760;14970
Price;lvmh;14760;39;B;paul;320;paul;750;14760;14873
Price;lvmh;14617;10;A;paul;751;paul;746;14227;14617
Price;lvmh;14339;5;A;paul;751;paul;661;14227;14339
Price;lvmh;14329;73;A;paul;751;paul;737;14227;14329
Price;lvmh;14328;4;A;paul;751;paul;542;14227;14328
Price;lvmh;14440;81;A;paul;759;paul;754;14228;14440
Price;lvmh;14442;40;B;paul;762;paul;764;14442;14838
Price;lvmh;14440;8;A;paul;765;paul;754;14132;14440
Price;lvmh;14328;35;A;paul;765;paul;542;14132;14328
Price;lvmh;14311;6;A;paul;765;paul;632;14132;14311
Price;lvmh;14442;4;B;paul;762;paul;767;14442;14619
Price;lvmh;14482;8;B;paul;752;paul;767;14482;14619
Price;lvmh;14482;41;B;paul;752;paul;768;14482;14591
Price;lvmh;14482;13;B;paul;752;paul;769;14482;14869
Price;lvmh;14482;2;B;paul;752;paul;770;14482;14866
Price;lvmh;14536;43;B;paul;758;paul;770;14536;14866
Price;lvmh;14702;30;B;paul;755;paul;770;14702;14866
Price;lvmh;14427;10;A;paul;771;paul;766;14309;14427
Price;lvmh;14702;17;B;paul;755;paul;772;14702;14898
Price;lvmh;14724;42;B;paul;761;paul;772;14724;14898
Price;lvmh;14724;2;B;paul;761;paul;773;14724;14736
Price;lvmh;14736;27;A;paul;774;paul;773;14075;14736
Price;lvmh;14736;15;A;paul;775;paul;773;14588;14736
Price;lvmh;14736;2;A;paul;777;paul;773;14292;14736
Price;lvmh;14427;67;A;paul;777;paul;766;14292;14427
Price;lvmh;14480;57;A;paul;780;paul;779;14167;14480
Price;lvmh;14747;57;B;paul;778;paul;782;14747;14808
Price;lvmh;14760;17;B;paul;320;paul;782;14760;14808
Price;lvmh;14760;1;B;paul;781;paul;782;14760;14808
Price;lvmh;14480;18;A;paul;786;paul;779;14012;14480
Price;lvmh;14427;19;A;paul;786;paul;766;14012;14427
Price;lvmh;14336;23;A;paul;786;paul;776;14012;14336
Price;lvmh;14336;35;A;paul;788;paul;776;14278;14336
Price;lvmh;14311;12;A;paul;788;paul;632;14278;14311
Price;lvmh;14301;37;A;paul;788;paul;506;14278;14301
Price;lvmh;14301;22;A;paul;789;paul;506;14225;14301
Price;lvmh;14283;9;A;paul;789;paul;554;14225;14283
Price;lvmh;14545;33;B;paul;795;paul;797;14545;14828
Price;lvmh;14545;32;B;paul;795;paul;800;14545;14822
Price;lvmh;14548;8;B;paul;791;paul;800;14548;14822
Price;lvmh;14548;69;B;paul;791;paul;801;14548;14667
Price;lvmh;14728;77;A;paul;803;paul;802;14151;14728
Price;lvmh;14735;35;B;paul;790;paul;806;14735;14975
Price;lvmh;14760;16;B;paul;781;paul;806;14760;14975
Price;lvmh;14728;13;A;paul;807;paul;802;14194;14728
Price;lvmh;14667;12;A;paul;807;paul;801;14194;14667
Price;lvmh;14530;60;A;paul;807;paul;792;14194;14530
Price;lvmh;14530;32;A;paul;808;paul;792;14145;14530
Price;lvmh;14525;39;A;paul;808;paul;804;14145;14525
Price;lvmh;14572;17;A;paul;811;paul;810;14479;14572
Price;lvmh;14618;51;A;paul;818;paul;814;14122;14618
Price;lvmh;14618;8;A;paul;821;paul;814;14594;14618
Price;lvmh;14594;20;B;paul;821;paul;822;14594;14798
Price;lvmh;14572;24;A;paul;823;paul;810;14027;14572
Price;lvmh;14525;44;A;paul;823;paul;804;14027;14525
Price;lvmh;14594;61;B;paul;821;paul;825;14594;14737
Price;lvmh;14594;2;B;paul;821;paul;827;14594;14655
Price;lvmh;14655;25;A;paul;829;paul;827;14189;14655
Price;lvmh;14525;7;A;paul;829;paul;804;14189;14525
Price;lvmh;14484;39;A;paul;829;paul;816;14189;14484
Price;lvmh;14484;21;A;paul;833;paul;816;14236;14484
Price;lvmh;14613;53;B;paul;831;paul;834;14613;14829
Price;lvmh;14730;25;B;paul;809;paul;834;14730;14829
Price;lvmh;14730;64;B;paul;809;paul;837;14730;14957
Price;lvmh;14750;20;B;paul;813;paul;837;14750;14957
Price;lvmh;14529;37;A;paul;838;paul;836;14382;14529
Price;lvmh;14750;4;B;paul;813;paul;840;14750;14946
Price;lvmh;14760;22;B;paul;781;paul;840;14760;14946
Price;lvmh;14761;18;B;paul;328;paul;840;14761;14946
Price;lvmh;14751;49;A;paul;847;paul;846;14395;14751
Price;lvmh;14529;40;A;paul;847;paul;836;14395;14529
Price;lvmh;14529;1;A;paul;848;paul;836;14296;14529
Price;lvmh;14484;13;A;paul;848;paul;816;14296;14484
Price;lvmh;14478;4;A;paul;848;paul;839;14296;14478
Price;lvmh;14577;45;B;paul;849;paul;850;14577;14784
Price;lvmh;14761;52;B;paul;328;paul;850;14761;14784
Price;lvmh;14478;21;A;paul;851;paul;839;14148;14478
Price;lvmh;14588;69;A;paul;853;paul;852;14111;14588
Price;lvmh;14478;1;A;paul;853;paul;839;14111;14478
Price;lvmh;14761;14;B;paul;328;paul;857;14761;14815
Price;lvmh;14762;42;B;paul;657;paul;857;14762;14815
Price;lvmh;14762;17;B;paul;657;paul;861;14762;14763
Price;lvmh;14763;27;A;paul;863;paul;861;14620;14763
Price;lvmh;14766;36;B;paul;783;paul;870;14766;14884
Price;lvmh;14763;38;A;paul;872;paul;861;14106;14763
Price;lvmh;14624;31;A;paul;872;paul;867;14106;14624
Price;lvmh;14624;51;A;paul;875;paul;867;14243;14624
Price;lvmh;14597;13;A;paul;875;paul;854;14243;14597
Price;lvmh;14766;52;B;paul;783;paul;876;14766;14901
Price;lvmh;14772;16;B;paul;319;paul;876;14772;14901
Price;lvmh;14597;31;A;paul;877;paul;854;14524;14597
Price;lvmh;14597;6;A;paul;878;paul;854;14344;14597
Price;lvmh;14478;1;A;paul;878;paul;839;14344;14478
Price;lvmh;14454;81;A;paul;878;paul;793;14344;14454
Price;lvmh;14564;37;B;paul;879;paul;882;14564;14864
Price;lvmh;14454;9;A;paul;885;paul;793;14103;14454
Price;lvmh;14429;3;A;paul;885;paul;862;14103;14429
Price;lvmh;14429;18;A;paul;886;paul;862;14034;14429
Price;lvmh;14420;45;A;paul;886;paul;819;14034;14420
Price;lvmh;14564;10;B;paul;879;paul;889;14564;14675
Price;lvmh;14587;56;B;paul;880;paul;889;14587;14675
Price;lvmh;14678;20;A;paul;893;paul;891;14048;14678
Price;lvmh;14675;11;A;paul;893;paul;889;14048;14675
Price;lvmh;14425;39;A;paul;893;paul;887;14048;14425
Price;lvmh;14772;28;B;paul;319;paul;894;14772;14839
Price;lvmh;14773;5;B;paul;47;paul;894;14773;14839
Price;lvmh;14773;56;B;paul;47;paul;897;14773;14787
Price;lvmh;14774;22;B;paul;250;paul;897;14774;14787
Price;lvmh;14767;46;A;paul;899;paul;895;14036;14767
Price;lvmh;14767;32;A;paul;900;paul;895;14056;14767
Price;lvmh;14767;11;A;paul;902;paul;895;14326;14767
Price;lvmh;14774;9;B;paul;250;paul;903;14774;14867
Price;lvmh;14776;29;B;paul;163;paul;903;14776;14867
Price;lvmh;14767;3;A;paul;905;paul;895;14039;14767
Price;lvmh;14432;19;A;paul;905;paul;904;14039;14432
Price;lvmh;14432;37;A;paul;909;paul;904;14283;14432
Price;lvmh;14425;17;A;paul;909;paul;887;14283;14425
Price;lvmh;14582;85;B;paul;907;paul;910;14582;14679
Price;lvmh;14679;8;A;paul;911;paul;910;14172;14679
Price;lvmh;14425;25;A;paul;911;paul;887;14172;14425
Price;lvmh;14420;1;A;paul;911;paul;819;14172;14420
Price;lvmh;14419;4;A;paul;911;paul;841;14172;14419
Price;lvmh;14419;36;A;paul;913;paul;841;14051;14419
Price;lvmh;14414;57;A;paul;913;paul;826;14051;14414
Price;lvmh;14776;22;B;paul;163;paul;915;14776;14957
Price;lvmh;14776;46;B;paul;181;paul;915;14776;14957
Price;lvmh;14778;15;B;paul;256;paul;915;14778;14957
Price;lvmh;14716;78;A;paul;918;paul;916;14558;14716
Price;lvmh;14498;47;B;paul;919;paul;920;14498;14772
Price;lvmh;14558;3;B;paul;918;paul;920;14558;14772
Price;lvmh;14772;44;A;paul;921;paul;920;14185;14772
Price;lvmh;14414;4;A;paul;921;paul;826;14185;14414
Price;lvmh;14778;39;B;paul;256;paul;922;14778;14931
Price;lvmh;14778;43;B;paul;391;paul;922;14778;14931
Price;lvmh;14784;15;B;paul;162;paul;922;14784;14931
Price;lvmh;14433;39;B;paul;929;paul;931;14433;14868
Price;lvmh;14605;37;B;paul;930;paul;931;14605;14868
Price;lvmh;14784;15;B;paul;162;paul;931;14784;14868
Price;lvmh;14414;1;A;paul;932;paul;826;14235;14414
Price;lvmh;14410;10;A;paul;932;paul;925;14235;14410
Price;lvmh;14404;30;A;paul;932;paul;864;14235;14404
Price;lvmh;14400;4;A;paul;932;paul;898;14235;14400
Price;lvmh;14453;57;B;paul;934;paul;935;14453;14672
Price;lvmh;14784;9;B;paul;162;paul;937;14784;14798
Price;lvmh;14784;14;B;paul;310;paul;937;14784;14798
Price;lvmh;14701;27;A;paul;939;paul;936;14316;14701
Price;lvmh;14701;36;A;paul;940;paul;936;14068;14701
Price;lvmh;14701;6;A;paul;941;paul;936;14029;14701
Price;lvmh;14672;8;A;paul;941;paul;935;14029;14672
Price;lvmh;14784;26;B;paul;310;paul;942;14784;14888
Price;lvmh;14784;24;B;paul;310;paul;943;14784;14944
Price;lvmh;14672;28;A;paul;945;paul;935;14610;14672
Price;lvmh;14582;51;A;paul;948;paul;947;14151;14582
Price;lvmh;14415;38;A;paul;948;paul;933;14151;14415
Price;lvmh;14400;1;A;paul;948;paul;898;14151;14400
Price;lvmh;14400;38;A;paul;949;paul;898;14050;14400
Price;lvmh;14391;18;A;paul;949;paul;856;14050;14391
Price;lvmh;14388;2;A;paul;949;paul;884;14050;14388
Price;lvmh;14476;28;B;paul;953;paul;956;14476;14612
Price;lvmh;14476;8;B;paul;953;paul;961;14476;14828
Price;lvmh;14610;18;B;paul;945;paul;961;14610;14828
Price;lvmh;14700;57;B;paul;952;paul;961;14700;14828
Price;lvmh;14700;22;B;paul;952;paul;962;14700;14997
Price;lvmh;14706;15;B;paul;955;paul;962;14706;14997
Price;lvmh;14784;7;B;paul;310;paul;962;14784;14997
Price;lvmh;14784;25;B;paul;411;paul;962;14784;14997
Price;lvmh;14786;10;B;paul;75;paul;962;14786;14997
Price;lvmh;14401;68;A;paul;963;paul;960;14251;14401
Price;lvmh;14388;23;A;paul;963;paul;884;14251;14388
Price;lvmh;14786;48;B;paul;75;paul;966;14786;14807
Price;lvmh;14787;49;B;paul;251;paul;966;14787;14807
Price;lvmh;14787;6;B;paul;251;paul;967;14787;14798
Price;lvmh;14788;45;B;paul;136;paul;967;14788;14798
Price;lvmh;14653;22;B;paul;970;paul;972;14653;14734
Price;lvmh;14451;43;A;paul;973;paul;968;14195;14451
Price;lvmh;14388;5;A;paul;973;paul;884;14195;14388
Price;lvmh;14383;24;A;paul;973;paul;965;14195;14383
Price;lvmh;14383;19;A;paul;975;paul;965;14184;14383
Price;lvmh;14376;36;A;paul;975;paul;912;14184;14376
Price;lvmh;14653;43;B;paul;970;paul;978;14653;14653
Price;lvmh;14653;34;A;paul;979;paul;978;14649;14653
Price;lvmh;14485;58;B;paul;980;paul;983;14485;14936
Price;lvmh;14376;50;A;paul;984;paul;912;14255;14376
Price;lvmh;14358;18;A;paul;984;paul;964;14255;14358
Price;lvmh;14317;9;A;paul;984;paul;958;14255;14317
Price;lvmh;14317;42;A;paul;986;paul;958;14038;14317
Price;lvmh;14485;34;B;paul;980;paul;987;14485;14944
Price;lvmh;14582;20;B;paul;985;paul;987;14582;14944
Price;lvmh;14417;37;A;paul;990;paul;989;14063;14417
Price;lvmh;14417;11;A;paul;992;paul;989;14227;14417
Price;lvmh;14417;2;A;paul;994;paul;989;14359;14417
Price;lvmh;14371;24;A;paul;994;paul;991;14359;14371
Price;lvmh;14371;17;A;paul;997;paul;991;14145;14371
Price;lvmh;14317;12;A;paul;997;paul;958;14145;14317
Price;lvmh;14298;45;A;paul;997;paul;860;14145;14298
Price;lvmh;14449;55;B;paul;995;paul;998;14449;14865
Price;lvmh;14449;16;B;paul;995;paul;999;14449;14630
Price;lvmh;14475;14;B;paul;996;paul;999;14475;14630
Price;lvmh;14298;9;A;pierre;1;paul;860;10000;14298
Price;lvmh;14297;1;A;pierre;1;paul;859;10000;14297
